a0,a1,beta,epsilondelta
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.0072213,0.0396993,0.821531,0.01882,0.37511
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
0.00526789,0.0381883,0.915208,0.0211778,0.365633
