a0,a1,beta
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.507679,0.124413,6.86233
0.463332,0.103676,7.09285
